Batch No.,AC Mooney,Ash%,C.B.%,A.E.%,V.M.%,RHC,Sp.Gravity,Mv,TS,EB,Hardness
SB40570,56.0,5.561497326203163,29.73262032085565,7.601184600197591,0.18621973929239408,56.9184780134512,1.148,40.3,81.70446174892139,506.0,50.0
SB40568,58.0,5.522088353413801,30.120481927710728,7.2380952380952825,0.18867924528298138,56.930655235497206,1.155,42.4,89.91747459551321,509.0,50.0
SB40566,65.0,5.495818399044345,31.063321385902015,7.059874888293176,0.18621973929239408,56.19476558746807,1.15,43.9,85.91805118179649,507.5,49.0
SB 40560,53.0,4.700352526439378,30.552291421856584,7.372072853425619,0.19743336623892518,57.17784983203949,1.148,39.4,92.30361377638852,504.5,51.0
SB40557,57.0,5.230125523012629,29.18410041841005,6.7095588235294645,0.18621973929239408,58.68999549575546,1.152,37.7,86.91824352019727,475.0,50.0
SB40554,65.0,5.498981670061131,29.633401221995985,7.85046728971959,0.19665683382500612,56.82049298439829,1.151,43.4,82.91666666666667,519.5,51.0
SB40550,58.0,5.17063081695974,29.98965873836597,7.255244755244915,0.19782393669637113,57.386641752733,1.15,42.5,85.27865362902254,491.0,51.0
SB40547,40.0,5.312500000000021,30.729166666666693,6.660666066606503,0.19743336623892518,57.10023390048786,1.154,35.1,87.89257756898311,503.0,51.0
SB40537,49.0,5.5664062499998685,30.273437500000075,7.129455909943413,0.09765624999998054,56.93304409005666,1.145,36.5,87.84673807609587,503.0,51.0
SB40534,54.0,5.118110236220433,30.216535433070902,6.546489563567598,0.09871668311949766,58.02014808402157,1.144,41.8,88.23075595545362,501.5,51.0
SB40422,57.0,4.751619870410419,30.88552915766734,7.4037512339584834,0.19782393669637113,56.76127580126739,1.14,42.0,97.07251792392447,519.0,52.0
SB40520,56.0,4.512067156348476,31.584470094438597,7.601184600197268,0.1858736059479844,56.11640454306768,1.15,41.1,90.36367579617496,504.5,51.0
SB40517,61.0,4.713804713804693,30.86419753086424,7.706422018348591,0.19230769230772232,56.52326804467476,1.14,40.8,86.36241723542874,509.0,52.0
SB40505,59.0,5.368421052631599,29.999999999999847,7.720930232557996,0.19743336623892518,56.71321534857163,1.144,43.5,87.411954459807,507.5,50.0
SB40494,51.0,5.445544554455506,30.198019801980177,7.350096711798552,0.09900990099007932,56.90732903077569,1.144,38.6,80.86580265701419,501.0,49.0
SB40492,62.0,5.158264947245076,31.18405627198125,7.065217391304116,0.20000000000003126,56.392461389469524,1.151,40.0,97.05005654379852,492.0,49.0
SB40481,74.0,5.117270788912581,32.19616204690844,7.5091575091575855,0.19230769230772232,54.98510196271367,1.148,32.6,80.55790227410603,503.0,49.0
SB40478,51.0,5.506883604505684,29.912390488110187,6.602112676056279,0.2961500493583527,57.682463181969496,1.151,41.8,82.28741496598639,494.0,50.0
SB40465,59.0,5.131128848346624,30.558722919042243,7.996051332675161,0.18621973929239408,56.12787716064358,1.152,43.9,73.59596684202137,522.0,51.0
SB40463,56.0,5.720338983050871,29.555084745762677,7.00483091787437,0.19782393669637113,57.521921416615704,1.148,43.7,77.80399552507876,488.5,49.0
SB7585,86.0,6.879361914257311,30.40877367896308,6.854460093896432,0.19704433497540025,55.660359977907774,1.16,32.5,63.359480323274376,509.0,48.0
SB40443,60.0,5.180840664711715,30.400782013685237,7.099999999999795,0.19860973187689301,57.11976758972636,1.151,37.2,86.44580030081059,515.0,51.0
SB40440,60.0,5.703048180924263,30.776794493608676,7.346189164371138,0.1974333662388552,55.976534794857066,1.15,42.1,89.64003515609019,510.5,52.0
SB40436,50.0,5.408062930186964,29.89183874139608,7.900207900207941,0.09900990099007932,56.70088052721894,1.152,36.5,85.24764693368292,484.5,51.0
SB40427,69.0,5.577689243027807,30.378486055776875,7.718120805369022,0.19782393669637113,56.12787995912992,1.149,43.8,80.05885374787815,496.5,52.0
SB40420,54.0,5.242718446601971,29.902912621359228,7.4037512339584834,0.17714791851198514,57.27346977956834,1.15,37.1,82.47416540099468,532.5,51.0
SB40416,68.0,4.743083003952571,29.8418972332017,7.115749525616641,0.18467220683283495,58.11459803039625,1.151,41.1,80.4651361888204,522.5,51.0
SB40405,53.0,6.762295081967111,31.762295081967295,8.099999999999952,0.19665683382500612,53.17875300224064,1.152,38.4,82.98157883000249,525.5,52.0
SB40402,60.0,5.024154589372113,30.241545893719692,7.209737827715509,0.17714791851198514,57.3474137706807,1.151,35.4,92.1168480900824,509.0,51.0
SB40396,56.0,5.268595041322331,30.578512396694148,7.4037512339584834,0.19607843137251002,56.55306289665253,1.15,34.3,84.9297837223046,504.5,50.0
SB40391,60.0,5.18072289156639,30.963855421686702,7.789855072463936,0.18621973929239408,55.879346874990574,1.149,35.8,84.39170588046993,494.0,51.0
SB40389,56.0,5.797101449275317,28.985507246376777,7.2744907856452645,0.19860973187689301,57.74429078682575,1.15,33.8,84.96778249253497,503.0,51.0
SB40387,60.0,6.088992974238835,28.92271662763467,6.631016042780857,0.18467220683283495,58.1726021485128,.1.149,35.0,84.56922095699274,519.5,51.0
SB40385,50.0,5.275779376498861,31.175059952038573,7.284768211920367,0.18885741265340913,56.07553504688879,1.149,34.2,84.37844593963182,515.0,50.0
SB40383,59.0,4.540654699049557,30.83421330517424,7.515657620041679,0.09930486593841123,57.01016950979611,1.152,46.1,83.13926258267833,503.0,51.0
SB40381,67.0,5.6133056133056325,30.353430353430284,7.706422018348591,0.19230769230772232,56.13453432260777,1.15,40.2,80.67361572420012,506.0,50.0
SB40379,50.0,6.097560975609807,29.776422764227565,7.706422018348591,0.1853568118628649,56.23423742995117,1.155,36.3,75.59201265596614,542.5,52.0
SB40376,65.0,5.226130653266296,31.0552763819095,7.246376811594053,0.19743336623892518,56.274782786991224,1.151,43.0,80.89406096759038,515.0,50.0
SB40364,60.0,5.162523900573634,31.357552581261864,6.49224806201552,0.19138755980864236,56.796287896340345,1.151,31.9,86.4035486646546,507.5,51.0
SB40362,65.0,5.247225025227005,31.48335015136221,6.795131845841798,0.19627085377817494,56.27802212379082,1.148,33.8,86.8327227722155,509.0,51.0
SB40359,49.0,5.544354838709823,30.6451612903224,8.151093439363889,0.19665683382500612,55.462733597778886,1.151,33.9,86.42598437811203,510.0,50.0
SB40357,69.0,5.23665659617317,31.21852970795573,6.250000000000037,0.19665683382500612,57.09815686204606,1.151,37.0,79.1525230963046,509.0,50.0
SB40356,68.0,5.7114228456914145,30.96192384769546,7.177974434611646,0.09910802775029845,56.04957084425118,1.153,38.1,87.1470586547044,509.0,51.0
SB40354,59.0,5.765199161425543,31.34171907756825,7.43243243243259,0.18621973929239408,55.27442958928122,1.152,32.9,79.8299346317639,522.5,51.0
SB40351,64.0,5.467196819085467,32.30616302186877,7.527801539777386,0.18570102135564648,54.51313759791273,1.149,38.9,86.48692311697225,515.0,51.0
SB40350,65.0,6.563245823388994,30.07159904534596,6.851851851851991,0.09803921568625501,56.4152640637268,1.152,38.6,84.19906358746262,516.5,51.0
SB40348,53.0,5.8759521218716255,31.011969532100103,7.193605683836561,0.18467220683283495,55.733800455358875,1.151,36.0,84.91985278404074,509.0,51.0
SB40345,70.0,6.365503080082072,28.644763860369594,8.037578288100033,0.18885741265340913,56.763297358794894,1.151,35.0,84.15432075920417,507.5,50.0
SB40344,66.0,7.078651685393138,29.213483146067436,7.5471698113206624,0.19665683382500612,55.96403852339376,1.152,37.2,80.60138386337147,509.0,51.0
SB40337,52.0,4.978813559322093,30.61440677966096,7.590467784642707,0.19860973187689301,56.61770214449735,1.149,41.6,91.31727149621514,518.0,51.0
SB40333,48.0,5.02008032128521,29.61847389558231,7.548845470692784,0.19569471624269205,57.61690559619701,1.143,43.1,79.32807311538656,492.5,50.0
SB40321,56.0,5.301455301455309,30.873180873180882,8.75984251968524,0.09746588693955174,54.96805541873902,1.152,38.7,82.01186068833128,501.5,51.0
SB40318,58.0,4.801920768307433,29.89195678271293,7.848837209302307,0.19138755980864236,57.265897679868694,1.15,37.8,88.88805917075598,499.0,50.0
SB40314,54.0,4.716073147257093,30.991337824831447,8.385744234800654,0.18867924528298138,55.71816554782782,1.149,43.0,88.8635569531796,512.0,51.0
SB40311,63.0,6.249999999999989,30.122950819672337,8.015640273704864,0.09765624999998054,55.513752656622835,1.154,41.6,75.57869032481796,515.0,52.0
SB40307,74.0,6.311637080867849,30.07889546351079,7.094918504314614,0.19880715705768512,56.315741794249064,1.15,53.1,88.49474474474476,494.0,50.0
SB40304,53.0,5.8282208588957465,30.47034764826177,6.907894736841985,0.19588638589621085,56.59765037010428,1.15,39.6,80.23806731886,547.5,52.0
SB40301,69.0,5.567010309278374,30.10309278350512,7.635694572217294,0.09891196834815041,56.595290366651064,1.152,45.6,90.01535003071051,516.5,51.0
SB40290,43.0,5.2011776251227495,30.02944062806664,6.285714285714519,0.19860973187689301,58.2850577292192,1.153,42.9,92.39197645520528,509.0,51.0
SB 40269,58.0,5.8641975308640575,29.1152263374487,7.534246575342553,0.1990049751243386,57.28732458122035,1.15,45.2,87.94246182616142,530.0,51.0
SB40264,50.0,4.919678714859384,31.12449799196791,7.484407484407771,0.18467220683283495,56.2867436019321,1.15,41.7,89.83521521364153,539.0,50.0
SB40262,54.0,5.470459518599642,29.868708971553584,7.181328545780811,0.19361084220712513,57.28589212185883,1.154,34.6,90.56553911205073,509.0,50.0
SB 40254,59.0,5.258033106134393,28.432327166504336,7.677165354330636,0.19569471624269205,58.43677965678794,1.15,42.4,85.42675481699872,527.0,52.0
SB40250,61.0,6.733668341708553,29.145728643216145,6.949152542372945,0.19230769230772232,56.97914278039464,1.152,45.8,82.79456654456655,518.0,51.0
SB40246,56.0,5.340314136125671,31.727748691099556,7.134637514384077,0.19588638589621074,55.60141327249449,1.151,45.0,81.78231651556641,506.0,51.0
SB40239,68.0,5.394605394605424,29.870129870129833,6.807286673058634,0.1990049751243386,57.72897308708177,1.153,41.2,91.85861923381407,509.0,51.0
SB40237,62.0,6.427015250544589,30.501089324618885,6.379453189726735,0.19880715705768512,56.49363507805211,1.15,44.4,80.25137380536538,498.0,51.0
SB40234,59.0,5.48571428571429,31.999999999999925,7.715133531157218,0.19569471624269205,54.60345746688588,1.153,39.1,91.83023743357224,518.0,51.0
SB40229,70.0,5.6256062075654505,30.74684772065955,7.902735562309983,0.09803921568625501,55.62677129377876,1.149,43.8,79.1262781406447,497.5,51.0
SB40226,58.0,5.555555555555537,30.842911877394712,7.162041181736637,0.1858736059479844,56.253617779365136,1.154,37.0,88.56879429919886,521.0,51.0
SB40220,46.0,5.227492739593446,30.977734753146223,8.238172920065184,0.19249278152065474,55.364106805674496,1.151,37.0,83.60698746821093,530.0,50.0
SB40217,52.0,5.78093306288037,30.730223123732188,7.122774133083458,0.19801980198022895,56.16804987832375,1.151,35.3,88.58905941144451,499.5,51.0
SB40209,61.0,5.9365404298873905,30.910951893551637,7.179487179487198,0.19531250000003048,55.77770799707375,1.151,47.2,95.10654533520388,505.0,52.0
SB40206,60.0,6.422018348623916,30.275229357798047,8.429118773946449,0.1858736059479844,54.68775991368361,1.151,44.5,82.76939835763365,507.5,49.0
SB40202,66.0,6.857727737973415,28.966223132036834,7.128712871287061,0.19249278152065474,56.85484347718203,1.151,38.9,84.06094527363184,540.0,52.0
SB40200,65.0,5.85817060637208,30.62692702980471,7.128712871287061,0.19801980198022895,56.18816969055592,1.125,40.3,86.78690221338638,498.5,51.0
SB40197,56.0,5.51181102362214,29.232283464566816,8.199811498586214,0.18885741265340913,56.86723660057142,1.151,40.6,96.54266303823366,494.0,51.0
SB40187,62.0,6.8376068376068435,29.166666666666643,8.078817733990217,0.09803921568625501,55.81886954605004,1.149,37.6,80.29405776861836,507.5,50.0
SB40184,55.0,7.005076142131888,29.137055837563555,7.9207920792077395,0.18467220683283495,55.752403734263986,1.15,41.2,92.8806792588768,515.0,50.0
SB40182,52.0,6.721820062047515,29.36918304033098,7.841239109390069,0.09803921568625501,55.96971857254518,1.15,48.5,84.19014708488393,528.0,51.0
SB40179,56.0,7.209062821833189,29.35118434603503,7.700101317122298,0.18885741265340913,55.55079410235607,0.0,43.4,83.57701118447649,507.5,52.0
SB40176,52.0,5.617977528089863,30.3370786516853,7.667731629392701,0.19569471624269205,56.18151747458945,1.152,47.6,81.31639935129638,498.5,51.0
SB40172,58.0,5.639476334340297,29.607250755287044,6.912878787878819,0.19417475728158376,57.646219365212254,1.155,45.2,82.32589619118747,500.0,50.0
SB40169,49.0,6.937799043062178,29.66507177033484,7.942583732057591,0.09765624999998054,55.35688920454541,1.15,46.4,78.02861996420033,498.0,52.0
SB40162,65.0,6.799999999999962,28.399999999999892,7.9059829059827,0.19880715705768512,56.695209936959756,1.152,37.8,83.37542087542087,494.0,50.0
SB40161,66.0,6.566820276497738,28.91705069124417,7.198612315698334,0.19782393669637116,57.119692779863385,1.15,47.4,82.05057216685123,487.0,49.0
SB40154,64.0,4.988662131519331,29.591836734693803,7.79220779220775,0.17714791851198514,57.450145423067134,1.149,40.1,87.78222649398495,503.0,51.0
SB40152,63.0,5.795677799607008,29.46954813359539,8.231458842705711,0.09505703422051341,56.408258189871376,1.148,45.0,91.3902946468736,488.0,51.0
SB40146,50.0,6.368715083798929,30.50279329608937,6.097560975609697,0.19723865877715108,56.833691985724855,1.132,38.9,80.91766121439463,493.5,48.0
SB40141,56.0,6.019007391763322,30.095036958817364,8.413672217353193,0.19860973187689301,55.27367370018923,1.138,36.1,87.17343959546882,502.0,51.0
SB40138,65.0,5.705705705705573,29.829829829829873,8.038277511961702,0.09478672985780104,56.33140022264505,1.146,32.9,84.89218586492795,499.5,51.0
SB40135,70.0,6.172839506172807,29.405162738496124,6.706281833616347,0.09689922480618227,57.618816696908546,1.14,31.8,80.17214283004654,504.5,49.0
SB40133,69.0,7.062436028659063,28.659160696008293,7.798165137614732,0.19801980198015864,56.28221833573775,1.143,35.6,85.26202202269275,503.0,51.0
SB40130,52.0,6.438213914849555,28.764278296988522,7.596067917783788,0.18365472910930328,57.01778514126884,1.145,39.7,85.09432958481091,519.5,50.0
SB40128,56.0,5.736894164193855,30.069238377843767,8.543689320388435,0.19704433497533028,55.453133802598614,1.144,42.2,84.1819440083255,519.5,51.0
SB40125,47.0,6.815869786368274,29.60325534079351,7.361963190184005,0.186046511627936,56.03286517102627,1.151,37.2,82.07164815860469,490.0,50.0
SB40123,61.0,5.626850937808352,29.713721618953617,8.410256410256475,0.18621973929239408,56.06295129368916,1.149,45.9,86.15364989824843,498.5,51.0
SB40120,61.0,6.3625450180072995,28.091236494597833,7.264573991031358,0.09765624999998054,58.18398824636353,1.152,50.7,81.35954460012886,490.5,51.0
SB40118,62.0,6.168831168831202,28.138528138528073,8.777120315581726,0.18621973929239408,56.7293006377666,1.149,46.5,81.14171472129654,490.5,51.0
SB7579,76.0,6.9002123142251754,29.830148619957345,6.735751295336728,0.09930486593841123,56.43458290454234,1.161,40.0,58.47069597069597,485.5,48.0
SB7578,48.0,6.349206349206211,29.62962962962974,7.7227722772276515,0.09718172983477173,56.20121001410162,1.16,38.0,73.2209608069513,515.0,49.0
SB7574,75.0,6.585365853658567,30.731707317073024,7.0993914807302465,0.09891196834815046,55.484623380190015,1.16,38.2,72.87293705859358,507.5,48.0
SB7571,54.0,8.064516129032258,29.233870967742007,7.475728155339965,0.19880715705768512,55.027077590828085,1.16,42.6,79.26670977657821,528.5,48.0
SB7568,58.0,6.6009852216748905,31.625615763546755,7.881773399014956,0.09505703422051341,53.796568581542886,1.16,44.6,69.50213111763438,493.5,48.0
SB40088,56.0,5.561277033985599,30.79299691040172,7.338551859100067,0.19782393669637113,56.109350259816246,1.152,41.1,80.9549821731231,521.0,50.0
SB7545,60.0,7.183580387685167,29.760547320410637,7.56143667296804,0.09950248756216926,55.39493313137398,1.16,27.2,65.55778540329763,491.5,49.0
SB40073,59.0,5.638297872340516,29.787234042553138,7.504690431519881,0.19860973187689301,56.87116792170957,1.15,43.8,90.75717766436988,513.5,51.0
SB40068,50.0,6.447368421052565,30.92105263157888,7.157258064516274,0.09615384615389533,55.378167036698386,1.152,43.2,91.59205758660981,504.5,49.0
SB40059,64.0,5.4651162790698296,30.46511627906978,7.646474677259348,0.19230769230772232,56.23098507229332,1.153,44.1,92.19463751619577,512.0,51.0
SB40055,61.0,4.561003420752474,32.269099201824375,6.746987951807479,0.09225092250927226,56.330658503106406,1.151,40.1,103.20506077386813,506.5,51.0
SB40051,55.0,5.494505494505572,30.329670329670304,8.14432989690729,0.19249278152072305,55.83900149739612,1.151,41.2,94.782198466409,496.5,51.0
SB40048,68.0,5.6994818652849455,30.569948186528492,6.33869441816462,0.19704433497540025,57.19483119504654,1.151,38.4,91.94721108262297,506.0,50.0
SB40039,66.0,5.517241379310354,31.37931034482758,8.269230769230946,0.09900990099007932,54.735207605641044,1.153,35.8,89.21357881884198,515.0,51.0
SB40036,65.0,5.402750491159105,30.74656188605112,7.087294727744229,0.19305019305015464,56.57034270199539,1.149,38.7,87.69990638411691,500.5,50.0
SB7532,68.0,7.621951219512122,29.878048780487855,7.480314960629984,0.19900497512440918,54.82068006424563,1.16,36.0,66.6024048176811,500.5,47.0
SB40029,64.0,5.033238366571774,31.054131054131027,7.841239109390413,0.19417475728158376,55.8772167126252,1.151,40.9,91.06205672991939,524.0,51.0
SB40024,74.0,5.811623246492973,31.362725450901713,7.683982683982851,0.18957345971566944,54.95209515890679,1.151,45.1,95.29935445870728,496.5,51.0
SB40020,63.0,5.832320777642773,29.526123936816553,6.873822975517921,0.19685039370074825,57.570881916322,1.15,45.0,89.96319047924553,500.5,51.0
SB40016,73.0,5.919661733615323,30.443974630021174,7.283464566928956,0.19665683382493632,56.15624223560961,1.151,41.3,93.49586850434555,509.0,50.0
SB40005,59.0,5.744680851063862,30.00000000000002,8.536585365853638,0.19249278152072305,55.52624100156176,1.151,36.2,90.10025266892666,512.0,52.0
SB 40004,37.0,6.072874493927179,29.757085020242975,8.761583824768273,0.19782393669637113,55.2106327243652,1.151,35.7,90.90190876375087,544.5,51.0
SB40001,58.0,5.106382978723412,31.276595744680918,6.92,0.19880715705768512,56.5,1.149,38.9,89.2916528973306,506.0,51.0
SB39994,55.0,6.441393875395987,29.567053854276622,7.00700700700702,0.17873100983017,56.8058142534902,1.151,32.0,82.27614409378201,515.0,50.0
SB39988,42.0,6.583072100313539,29.780564263322876,7.562189054726426,0.17905102954344784,55.895123552093715,1.149,34.1,83.34766626845834,509.0,51.0
SB39982,42.0,5.447070914696894,29.804727646454154,7.677165354330636,0.19646365422392947,56.874572430294386,1.152,32.9,83.3666613055439,530.0,49.0
SB39980,45.0,5.186721991701142,30.60165975103738,7.77559055118115,0.18867924528304833,56.24734846079728,1.151,37.4,85.69116828017756,507.5,48.0
SB39978,56.0,5.688622754491063,30.239520958083773,7.99632352941176,0.09803921568625501,55.977493542327146,1.149,33.0,82.8550641919982,506.0,49.0
SB39976,37.0,5.3427419354837795,30.544354838709786,7.317073170731637,0.18264840182644776,56.61318165324835,1.149,30.3,89.59040109046947,530.0,51.0
SB39968,67.0,4.785643070787641,31.006979062811553,6.912804399057143,0.1795332136445523,57.11504025369911,1.15,35.8,92.63354263354263,505.0,51.0
SB39966,56.0,5.418719211822629,30.443349753694495,7.2278133577307475,0.09746588693955174,56.81265178981258,1.15,34.9,85.43226224059174,501.5,51.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
