S/N,Autoclave,Form Filled By,Form Filled At,Machine Idle,Batch ID,BT- Recipe,Shift,Supervisor,Operator,Batch Start Time (HH:MM),Loading Temp (°C),Loading Pressure (kg/cm2),Loading Time (HH:MM),Loading Duration (HH:MM),Close Top Door Temp (°C),Close Top Door Pressure (kg/cm2),Close Top Door Time (HH:MM),Heat Valve Open Temp (°C),Heat Valve Open Pressure (kg/cm2),Heat Valve Open Time (HH:MM),Steam Valve Open Temp (°C),Steam Valve Open Pressure (kg/cm2),Steam Valve Open Time (HH:MM),Steam Valve Close Temp (°C),Steam Valve Close Pressure (kg/cm2),Steam Valve Close Time (HH:MM),Heat Valve Close Temp (°C),Heat Valve Close Pressure (kg/cm2),Heat Valve Close Time (HH:MM),Low TF Temp Duration(Mins) (Below 260°C),Cooking Start Time (HH:MM),Cooking Stop Time (HH:MM),Cooking Duration (HH:MM),Discharge Valve Open Temp (°C),Discharge Valve Open Pressure (kg/cm2),Discharge Valve Open Time (HH:MM),Discharge Start Time (HH:MM),Discharge Stop Time (HH:MM),Discharge Duration (HH:MM),Cooling Valve Open Temp(°C),Cooling Valve Open Pressure (kg/cm2),Cooling Valve Open Time (HH:MM),Cooling Valve Close Temp(°C),Cooling Valve Close Pressure (kg/cm2),Cooling Valve Close Time (HH:MM),Cooling Duration (HH:MM),Waiting Temp(°C),Waiting Pressure (kg/cm2),Waiting Time (HH:MM),Top door ( sample collect ) Temp(°C),Top door ( sample collect ) Pressure (kg/cm2),Top door ( sample collect ) Time (HH:MM),Sampling End Time (HH:MM),Sampling Duration (HH:MM),Bottom Door Open Temp(°C),Bottom Door Open Pressure (kg/cm2),Bottom Door Open Time (HH:MM),Unload Complete Temp(°C),Unload Complete Pressure (kg/cm2),Unload Complete Time (HH:MM),Unloading Duration (HH:MM),Bottom Door Close Temp(°C),Bottom Door Close Pressure (kg/cm2),Bottom Door Close Time (HH:MM),Comment,Customer,Batch kWh,Standard Batch Duration(Hrs),Actual Batch Duration (Mins),Batch End Time (HH:MM)
11,AC10,operator5_sl02@grpweb.com,2026-03-04 03:27:29.328,No,BT-040582-0,BT- Recipe1,Shift 3,Tikore,shinde,20:52,118,0.1,20:53,01:58:00,104,0.14,21:11,104,0.07,21:12,101,0.08,21:40,142,8.16,21:53,221,11.61,1:35,240,21:12,1:34,04:21:00,0,0,0:0,0:0,0:0,00:00:00,221,10.64,1:35,104,0.11,21:12,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,166,0.13,2:30,0,0.0,0:0,00:52:00,0,0.0,0:0,,Pirelli,,5,390,0:0
12,AC10,operator5_sl02@grpweb.com,2026-03-03 20:55:21.986,No,BT-040579-0,BT- Recipe1,Shift 2,Kamlakar,Dhasade,14:33,110,0.07,14:34,01:50:00,91,0.06,14:49,89,0.04,14:50,96,0.11,15:18,120,4.14,15:27,216,0.81,19:16,262,14:50,19:15,04:24:00,0,0,0:0,0:0,0:0,00:00:00,216,0.87,19:16,216,0.87,19:16,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,132,0.15,20:9,115,0.16,20:49,00:40:00,115,0.16,20:49,,Pirelli,,5,376,20:49
13,AC10,operator5_sl02@grpweb.com,2026-03-03 14:35:45.221,No,BT-040578-0,BT- Recipe1,Shift 1,Rangrez,Methre,8:23,104,0.05,8:23,01:44:00,89,0.05,8:40,82,0.04,8:51,93,0.51,9:21,130,6.52,9:56,225,15.55,13:6,233,8:51,13:5,04:13:00,0,0,0:0,0:0,0:0,00:00:00,219,1.77,13:7,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,109,0.09,13:55,0,0.0,0:0,00:35:00,0,0.0,0:0,,Pirelli,,5,368,0:0
14,AC10,operator5_sl02@grpweb.com,2026-03-03 08:25:20.347,No,BT-040575-0,BT- Recipe1,Shift 1,Rangrez,Methre,2:37,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,96,0.85,3:4,125,4.24,3:16,220,1.08,6:44,188,0:0,6:43,04:05:00,0,0,0:0,0:0,0:0,00:00:00,220,0.63,6:44,100,0.07,8:20,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.08,7:42,97,0.05,8:19,00:36:00,97,0.05,8:19,,Pirelli,,5,341,8:19
15,AC10,operator5_sl02@grpweb.com,2026-03-03 02:12:19.147,Yes,BT-040572-0,BT- Recipe1,Shift 3,Tikore,shinde,19:50,98,0.03,20:13,01:38:00,98,0.04,20:13,97,0.01,20:15,96,0.26,20:46,122,4.29,20:58,221,7.44,0:28,235,20:15,0:27,04:11:00,0,0,0:0,0:0,0:0,00:00:00,221,8.42,0:28,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.04,1:37,0,0.0,0:0,00:30:00,0,0.0,0:0,,Pirelli,,5,378,0:0
16,AC10,operator5_sl02@grpweb.com,2026-03-02 19:50:50.947,No,BT-040570-0,BT- Recipe1,Shift 2,Kamlakar,Dixit,13:40,104,0.03,13:41,01:44:00,98,0.04,13:59,97,0.08,14:0,92,0.37,14:30,125,4.86,14:41,220,11.97,18:18,214,14:0,18:16,04:15:00,0,0,0:0,0:0,0:0,00:00:00,208,0.15,18:23,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.07,19:10,103,0.04,19:46,00:35:00,103,0.04,19:46,,Sumo Tumo,,5,365,19:46
17,AC10,operator5_sl02@grpweb.com,2026-03-02 13:41:20.069,,BT-040568-0,BT- Recipe1,Shift 1,Rangrez,Methre,7:10,107,0.2,7:11,01:47:00,94,0.13,7:40,93,0.13,7:42,91,0.26,8:14,124,5.44,8:26,222,15.35,12:13,230,7:42,12:12,04:30:00,0,0,0:0,0:0,0:0,00:00:00,220,2.44,12:15,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.04,13:6,102,0.09,0:0,00:30:00,102,0.09,0:0,,Alfredo,,5,386,0:0
18,AC10,operator5_sl02@grpweb.com,2026-03-02 07:03:14.115,,BT-040566-0,BT- Recipe1,Shift 3,Tikore,Dhasade,0:18,107,0.15,0:35,01:47:00,106,0.15,0:37,92,0.12,0:59,99,0.15,1:24,141,4.53,1:36,220,8.73,5:9,220,0:59,5:8,04:08:00,0,0,0:0,0:0,0:0,00:00:00,216,2.17,5:10,92,0.13,0:52,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,106,0.17,6:9,106,0.18,0:0,00:49:00,106,0.18,0:0,,Pirelli,,5,400,0:0
19,AC10,operator5_sl02@grpweb.com,2026-03-01 10:53:44.094,,BT-040560-0,BT- Recipe1,Shift 1,Shille,Methre,4:8,120,0.13,4:10,02:00:00,111,0.14,4:29,110,0.19,4:30,97,0.16,4:50,127,4.97,5:1,225,14.86,8:48,256,4:30,8:47,04:16:00,0,0,0:0,0:0,0:0,00:00:00,221,3.44,8:50,110,0.17,4:30,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,98,0.04,10:6,93,0.07,10:49,00:42:00,93,0.07,10:49,,Alfredo,,5,400,10:49
20,AC10,operator5_sl02@grpweb.com,2026-03-01 04:10:25.791,,BT-040557-0,BT- Recipe1,Shift 3,Gadagi,Dhasade,22:11,110,0.05,22:12,01:50:00,104,0.0,22:31,103,0.0,22:33,101,0.08,23:2,143,6.5,23:26,223,14.16,2:36,215,22:33,2:35,04:01:00,0,0,0:0,0:0,0:0,00:00:00,206,0.57,2:41,103,0.01,22:33,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,116,0.07,3:37,114,0.15,4:5,00:27:00,114,0.15,4:5,,Pirelli,,5,353,4:5
21,AC10,operator5_sl02@grpweb.com,2026-02-28 22:13:21.367,,BT-040554-0,BT- Recipe1,Shift 2,Kamlakar,Dixit,16:30,102,0.1,16:31,01:42:00,96,0.05,16:47,94,0.08,16:49,95,0.13,17:19,130,0.14,17:29,223,14.22,20:39,181,16:49,20:38,03:48:00,0,0,0:0,0:0,0:0,00:00:00,205,0.09,20:50,102,0.1,16:30,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.05,21:37,0,0.0,0:0,00:31:00,0,0.0,0:0,,Pirelli,,5,338,0:0
22,AC10,operator5_sl02@grpweb.com,2026-02-28 16:27:04.923,,BT-040550-0,BT- Recipe1,Shift 2,Kamlakar,Dixit,9:30,94,0.08,9:32,01:34:00,88,0.03,9:49,87,0.03,9:51,87,0.04,10:21,118,4.2,10:32,224,13.34,14:3,207,9:51,14:2,04:10:00,0,0,0:0,0:0,0:0,00:00:00,220,0.94,14:5,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.11,15:38,96,0.07,0:0,00:44:00,96,0.07,0:0,,Pirelli,,5,411,0:0
23,AC10,operator5_sl02@grpweb.com,2026-02-28 09:33:11.358,,BT-040547-0,BT- Recipe1,Shift 1,Rangrez,Methre,2:53,118,0.09,3:0,01:58:00,105,0.14,3:13,104,0.1,3:14,92,0.12,3:36,122,4.53,3:47,224,13.07,7:25,195,3:14,7:24,04:09:00,0,0,0:0,0:0,0:0,00:00:00,220,1.14,7:27,104,0.1,3:14,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.1,8:54,90,0.06,9:28,00:34:00,90,0.06,9:28,8:20 to 8:50  A/C 7 unload load ,Alfredo,8:20 to 8:50  A/C 7 unload load ,5,395,9:28
24,AC10,operator5_sl02@grpweb.com,2026-02-27 21:00:33.062,,BT-040537-0,BT- Recipe1,Shift 2,Gadagi,Dixit,14:9,89,0.08,14:10,01:29:00,82,0.05,14:30,86,0.08,14:51,95,0.53,15:21,133,5.61,15:33,221,13.99,19:13,260,14:51,19:11,04:20:00,0,0,0:0,0:0,0:0,00:00:00,202,0.37,19:19,86,0.12,14:50,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.05,20:30,0,0.0,0:0,00:25:00,0,0.0,0:0,,Pirelli,,5,405,0:0
25,AC10,operator5_sl02@grpweb.com,2026-02-27 07:09:46.953,,BT-040534-0,BT- Recipe1,Shift 3,Tikore,Dhasade,0:30,99,0.15,6:59,01:39:00,99,0.15,6:59,96,0.09,0:54,98,0.29,1:23,138,6.04,1:42,222,15.52,5:11,255,0:54,5:10,04:15:00,0,0,0:0,0:0,0:0,00:00:00,215,1.8,5:13,100,2.23,1:26,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.07,6:12,99,0.15,6:59,00:46:00,99,0.15,6:59,,Pirelli,,5,388,6:59
26,AC10,operator5_sl02@grpweb.com,2026-02-26 18:30:20.543,,BT-040522-0,BT- Recipe1,Shift 2,Gadagi,Dixit,12:0,90,0.12,12:17,01:30:00,90,0.14,12:17,89,0.14,12:20,91,0.13,12:48,117,3.96,13:1,221,15.96,16:59,278,12:20,16:58,04:38:00,0,0,0:0,0:0,0:0,00:00:00,199,0.23,17:6,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.01,17:51,106,0.02,18:25,00:33:00,106,0.02,18:25,,Other,,5,384,18:25
27,AC10,operator5_sl02@grpweb.com,2026-02-26 12:02:00.326,,BT-040520-0,BT- Recipe1,Shift 1,Gadagi,Methre,5:38,105,0.09,5:44,01:45:00,96,0.1,6:0,94,0.06,6:1,87,0.21,6:17,108,3.29,6:43,223,16.06,10:28,266,6:1,10:27,04:26:00,0,0,0:0,0:0,0:0,00:00:00,220,8.95,10:30,95,0.08,6:1,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,101,0.09,11:27,94,0.08,0:0,00:30:00,94,0.08,0:0,,Other,,5,379,0:0
28,AC10,operator5_sl02@grpweb.com,2026-02-26 05:38:44.933,,BT-040517-0,BT- Recipe1,Shift 3,Kamlakar,Dhasade,23:15,96,0.0,23:37,01:36:00,96,0.04,23:38,95,0.04,23:39,92,0.09,23:59,143,7.26,0:22,221,16.56,4:12,271,23:39,4:11,04:31:00,0,0,0:0,0:0,0:0,00:00:00,215,1.47,4:17,95,0.02,23:39,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.05,5:4,99,0.08,5:34,00:30:00,99,0.08,5:34,,Pirelli,,5,378,5:34
29,AC10,operator5_sl02@grpweb.com,2026-02-25 04:47:32.983,,BT-040505-0,BT- Recipe1,Shift 3,Kamlakar,Dhasade,22:10,89,0.03,22:23,01:29:00,84,0.08,22:29,83,0.03,22:30,95,0.51,23:5,147,7.69,23:36,220,14.53,2:53,258,22:30,2:52,04:22:00,0,0,0:0,0:0,0:0,00:00:00,216,1.68,2:56,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,105,0.08,3:46,112,0.02,4:20,00:34:00,112,0.02,4:20,,Pirelli,,5,370,4:20
30,AC10,operator5_sl02@grpweb.com,2026-02-24 22:12:05.137,,BT-040494-0,BT- Recipe1,Shift 2,Gadagi,Methre,15:29,112,0.0,15:31,01:52:00,99,0.05,15:48,96,0.02,15:50,99,0.57,16:20,127,5.51,16:31,221,13.96,20:1,250,15:50,20:0,04:10:00,0,0,0:0,0:0,0:0,00:00:00,219,3.59,20:3,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.04,21:25,92,0.03,22:8,00:42:00,92,0.03,22:8,,Pirelli,,5,398,22:8
31,AC10,operator5_sl02@grpweb.com,2026-02-24 15:31:48.134,,BT-040492-0,BT- Recipe1,Shift 2,Gadagi,Methre,9:30,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,88,0.09,10:0,135,5.87,10:21,224,14.27,13:40,249,0:0,13:39,04:09:00,0,0,0:0,0:0,0:0,00:00:00,223,14.32,13:41,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.1,14:40,109,0.02,15:27,00:47:00,109,0.02,15:27,,Pirelli,,5,356,15:27
32,AC10,operator5_sl02@grpweb.com,2026-02-23 11:18:59.614,,BT-040481-0,BT- Recipe1,Shift 1,Rangrez,shinde,4:40,93,0.08,4:51,01:33:00,83,0.05,4:58,82,0.13,5:0,91,0.86,5:31,130,6.57,5:43,223,14.0,9:11,249,5:0,9:10,04:09:00,0,0,0:0,0:0,0:0,00:00:00,220,2.97,9:14,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.07,10:13,107,0.0,10:58,00:45:00,107,0.0,10:58,,Pirelli,,5,378,10:58
33,AC10,operator5_sl02@grpweb.com,2026-02-23 04:42:08.083,,BT-040478-0,BT- Recipe1,Shift 3,Kamlakar,Methre,22:10,97,0.03,22:11,01:37:00,86,0.11,22:29,85,0.13,22:30,104,1.1,23:18,135,6.42,23:31,225,12.65,2:57,265,22:30,2:56,04:25:00,0,0,0:0,0:0,0:0,00:00:00,222,2.69,2:59,96,0.05,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.09,3:58,95,0.01,4:38,00:39:00,95,0.01,4:38,,Pirelli,,5,387,4:38
34,AC10,operator5_sl02@grpweb.com,2026-02-22 09:47:43.215,,BT-040465-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,3:41,0,0.0,0:0,00:00:00,0,0.0,0:0,94,0.04,4:1,94,0.59,4:29,127,5.21,4:40,225,14.2,8:17,221,4:1,8:16,04:14:00,0,0,0:0,0:0,0:0,00:00:00,222,2.11,8:18,94,0.0,4:1,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,109,0.05,9:14,107,0.03,9:43,00:28:00,107,0.03,9:43,,Pirelli,,5,362,9:43
35,AC10,operator5_sl02@grpweb.com,2026-02-22 03:42:54.552,,BT-040463-0,BT- Recipe1,Shift 3,Kamlakar,Dhasade,21:39,102,0.0,21:40,01:42:00,89,0.0,21:58,87,0.0,22:0,93,0.47,22:30,125,5.39,22:41,223,13.54,2:11,250,22:0,2:10,04:10:00,0,0,0:0,0:0,0:0,00:00:00,210,0.06,2:22,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.04,3:5,98,0.03,3:38,00:33:00,98,0.03,3:38,,Pirelli,,5,359,3:38
36,AC10,operator5_sl02@grpweb.com,2026-02-21 15:32:30.478,,BT-07585-0,BT- Recipe1,Shift 2,Gadagi,Methre,4:30,108,0.0,4:59,01:48:00,108,0.0,4:59,139,0.38,11:13,138,0.4,11:13,150,7.05,11:17,217,13.45,13:30,363,11:13,13:29,07:21:00,0,0,0:0,0:0,0:0,00:00:00,204,0.17,13:35,111,0.06,11:13,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,134,0.08,14:8,110,0.06,15:27,01:19:00,110,0.06,15:27,,Pirelli,,5,657,15:27
37,AC10,operator5_sl02@grpweb.com,2026-02-20 15:52:29.531,,BT-040443-0,BT- Recipe1,Shift 2,Other,Methre,8:58,105,0.07,8:59,01:45:00,94,0.08,9:18,93,0.07,9:20,92,0.13,9:53,125,4.47,10:14,222,10.25,14:5,283,9:20,14:3,04:43:00,0,0,0:0,0:0,0:0,00:00:00,206,0.32,14:12,99,0.0,15:49,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.01,15:22,98,0.0,15:48,00:26:00,98,0.0,15:48,,Pirelli,,5,409,15:48
38,AC10,operator5_sl02@grpweb.com,2026-02-20 08:58:10.709,,BT-040440-0,BT- Recipe1,Shift 1,Gadagi,Dixit,1:59,98,0.05,2:0,01:38:00,94,0.04,2:18,93,0.0,2:21,87,0.29,2:50,123,4.69,3:4,223,15.54,6:28,226,2:21,6:27,04:06:00,0,0,0:0,0:0,0:0,00:00:00,208,0.62,6:35,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,102,0.07,8:18,0,0.0,0:0,00:36:00,0,0.0,0:0,,Pirelli,,5,415,0:0
39,AC10,operator5_sl02@grpweb.com,2026-02-19 19:05:41.851,,BT-040436-0,BT- Recipe1,Shift 2,Other,Methre,13:6,93,0.03,13:17,01:33:00,92,0.04,13:19,92,0.07,13:20,91,0.32,13:45,135,5.73,14:13,225,16.09,17:27,136,13:20,17:26,04:05:00,0,0,0:0,0:0,0:0,00:00:00,218,1.45,17:30,92,0.09,13:20,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,99,0.2,18:29,0,0.0,0:0,00:33:00,0,0.0,0:0,,Pirelli,,5,356,0:0
40,AC10,operator5_sl02@grpweb.com,2026-02-19 00:13:53.362,,BT-040427-0,BT- Recipe1,Shift 3,Kamlakar,Dixit,17:45,0,0.0,0:0,00:00:00,0,0.0,0:0,0,0.0,0:0,89,0.28,18:18,107,3.53,18:24,224,15.77,21:50,165,0:0,21:49,04:03:00,0,0,0:0,0:0,0:0,00:00:00,224,15.73,21:51,86,0.05,17:49,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,103,0.07,23:39,0,0.0,0:0,00:30:00,0,0.0,0:0,,Other,,5,384,0:0
41,AC10,operator5_sl02@grpweb.com,2026-02-18 07:53:20.020,,BT-040420-0,BT- Recipe1,Shift 1,Rangrez,Dhasade,1:31,106,0.0,1:32,01:46:00,98,0.02,1:50,97,0.01,1:51,99,0.09,2:22,132,4.71,2:32,229,14.57,6:12,259,1:51,6:11,04:19:00,0,0,0:0,0:0,0:0,00:00:00,225,1.82,6:14,0,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,100,0.08,7:20,104,0.07,7:47,00:26:00,104,0.07,7:47,,Pirelli,,5,375,7:47
42,AC10,operator5_sl02@grpweb.com,2026-02-18 01:32:18.713,,BT-040416-0,BT- Recipe1,Shift 3,Shille,Methre,19:40,0,0.0,0:0,00:00:00,0,0.0,0:0,90,0.07,19:41,97,0.27,20:12,143,5.37,20:42,228,14.43,23:51,249,19:41,23:50,04:09:00,0,0,0:0,0:0,0:0,00:00:00,225,3.22,23:53,101,0.0,0:0,00:00:00,0,0,0:0,0,0,0:0,0:0,00:00:00,104,0.05,0:49,100,0.02,0:0,00:37:00,100,0.02,0:0,,Pirelli,,5,346,0:0
