Batch No.,AC Mooney,Ash%,C.B.%,A.E.%,V.M.%,RHC,Sp.Gravity,Mv,TS,EB,Hardness,Success % off all parameters average
SB 40269,58.0,5.864197530864057,29.1152263374487,7.534246575342553,0.1990049751243386,57.28732458122035,1.15,45.2,87.94246182616142,530.0,51.0,90.9%
SB40264,50.0,4.919678714859384,31.12449799196791,7.484407484407771,0.1846722068328349,56.2867436019321,1.15,41.7,89.83521521364153,539.0,50.0,100.0%
SB40262,54.0,5.470459518599642,29.86870897155358,7.181328545780811,0.1936108422071251,57.28589212185883,1.154,34.6,90.56553911205073,509.0,50.0,100.0%
SB 40254,59.0,5.258033106134393,28.43232716650434,7.677165354330636,0.1956947162426921,58.43677965678794,1.15,42.4,85.42675481699872,527.0,52.0,100.0%
SB40250,61.0,6.733668341708553,29.14572864321615,6.949152542372945,0.1923076923077223,56.97914278039464,1.152,45.8,82.79456654456655,518.0,51.0,81.8%
SB40237,62.0,6.427015250544589,30.50108932461889,6.379453189726735,0.1988071570576851,56.49363507805211,1.15,44.4,80.25137380536538,498.0,51.0,90.9%
SB40246,56.0,5.340314136125671,31.72774869109956,7.134637514384077,0.1958863858962107,55.60141327249449,1.151,45.0,81.78231651556641,506.0,51.0,100.0%
SB40239,68.0,5.394605394605424,29.87012987012983,6.807286673058634,0.1990049751243386,57.72897308708177,1.153,41.2,91.85861923381407,509.0,51.0,90.9%
SB40234,59.0,5.48571428571429,31.99999999999993,7.715133531157218,0.1956947162426921,54.60345746688588,1.153,39.1,91.83023743357224,518.0,51.0,100.0%
SB40229,70.0,5.62560620756545,30.74684772065955,7.902735562309983,0.09803921568625501,55.62677129377876,1.149,43.8,79.1262781406447,497.5,51.0,90.9%
SB40226,58.0,5.555555555555537,30.84291187739471,7.162041181736637,0.1858736059479844,56.25361777936514,1.154,37.0,88.56879429919886,521.0,51.0,100.0%
SB40220,46.0,5.227492739593446,30.97773475314622,8.238172920065184,0.1924927815206547,55.3641068056745,1.151,37.0,83.60698746821093,530.0,50.0,90.9%
SB40217,52.0,5.78093306288037,30.73022312373219,7.122774133083458,0.1980198019802289,56.16804987832375,1.151,35.3,88.58905941144451,499.5,51.0,100.0%
SB40209,61.0,5.936540429887391,30.91095189355164,7.179487179487198,0.1953125000000305,55.77770799707375,1.151,47.2,95.10654533520388,505.0,52.0,81.8%
SB40206,60.0,6.422018348623916,30.27522935779805,8.429118773946449,0.1858736059479844,54.68775991368361,1.151,44.5,82.76939835763365,507.5,49.0,100.0%
SB40202,66.0,6.857727737973415,28.96622313203683,7.128712871287061,0.1924927815206547,56.85484347718203,1.151,38.9,84.06094527363184,540.0,52.0,90.9%
SB40200,65.0,5.85817060637208,30.62692702980471,7.128712871287061,0.1980198019802289,56.18816969055592,1.125,40.3,86.78690221338638,498.5,51.0,90.9%
SB40197,56.0,5.51181102362214,29.23228346456682,8.199811498586214,0.1888574126534091,56.86723660057142,1.151,40.6,96.54266303823366,494.0,51.0,100.0%
SB40187,62.0,6.837606837606844,29.16666666666664,8.078817733990217,0.09803921568625501,55.81886954605004,1.149,37.6,80.29405776861836,507.5,50.0,90.9%
SB40184,55.0,7.005076142131888,29.13705583756355,7.92079207920774,0.1846722068328349,55.75240373426399,1.15,41.2,92.8806792588768,515.0,50.0,90.9%
SB40182,52.0,6.721820062047515,29.36918304033098,7.841239109390069,0.09803921568625501,55.96971857254518,1.15,48.5,84.19014708488393,528.0,51.0,90.9%
SB40179,56.0,7.209062821833189,29.35118434603503,7.700101317122298,0.1888574126534091,55.55079410235607,0.0,43.4,83.57701118447649,507.5,52.0,81.8%
SB40176,52.0,5.617977528089863,30.3370786516853,7.667731629392701,0.1956947162426921,56.18151747458945,1.152,47.6,81.31639935129638,498.5,51.0,90.9%
SB40172,58.0,5.639476334340297,29.60725075528704,6.912878787878819,0.1941747572815838,57.64621936521225,1.155,45.2,82.32589619118747,500.0,50.0,90.9%
SB40169,49.0,6.937799043062178,29.66507177033484,7.942583732057591,0.09765624999998054,55.35688920454541,1.15,46.4,78.02861996420033,498.0,52.0,81.8%
SB40162,65.0,6.799999999999962,28.39999999999989,7.9059829059827,0.1988071570576851,56.69520993695976,1.152,37.8,83.37542087542087,494.0,50.0,90.9%
SB40161,66.0,6.566820276497738,28.91705069124417,7.198612315698334,0.1978239366963712,57.11969277986339,1.15,47.4,82.05057216685123,487.0,49.0,81.8%
SB40154,64.0,4.988662131519331,29.5918367346938,7.79220779220775,0.1771479185119851,57.45014542306713,1.149,40.1,87.78222649398495,503.0,51.0,90.9%
SB40152,63.0,5.795677799607008,29.46954813359539,8.231458842705711,0.09505703422051341,56.40825818987138,1.148,45.0,91.3902946468736,488.0,51.0,90.9%
SB40146,50.0,6.368715083798929,30.50279329608937,6.097560975609697,0.1972386587771511,56.83369198572485,1.132,38.9,80.91766121439463,493.5,48.0,100.0%
SB40141,56.0,6.019007391763322,30.09503695881736,8.413672217353193,0.198609731876893,55.27367370018923,1.138,36.1,87.17343959546882,502.0,51.0,100.0%
SB40138,65.0,5.705705705705573,29.82982982982987,8.038277511961702,0.09478672985780104,56.33140022264505,1.146,32.9,84.89218586492795,499.5,51.0,90.9%
SB40135,70.0,6.172839506172807,29.40516273849612,6.706281833616347,0.09689922480618227,57.61881669690855,1.14,31.8,80.17214283004654,504.5,49.0,90.9%
SB40133,69.0,7.062436028659063,28.65916069600829,7.798165137614732,0.1980198019801586,56.28221833573775,1.143,35.6,85.26202202269275,503.0,51.0,81.8%
SB40130,52.0,6.438213914849555,28.76427829698852,7.596067917783788,0.1836547291093033,57.01778514126884,1.145,39.7,85.09432958481091,519.5,50.0,100.0%
SB40128,56.0,5.736894164193855,30.06923837784377,8.543689320388435,0.1970443349753303,55.45313380259861,1.144,42.2,84.1819440083255,519.5,51.0,100.0%
SB40125,47.0,6.815869786368274,29.60325534079351,7.361963190184005,0.186046511627936,56.03286517102627,1.151,37.2,82.07164815860469,490.0,50.0,90.9%
SB40123,61.0,5.626850937808352,29.71372161895362,8.410256410256475,0.1862197392923941,56.06295129368916,1.149,45.9,86.15364989824843,498.5,51.0,81.8%
SB40120,61.0,6.3625450180073,28.09123649459783,7.264573991031358,0.09765624999998054,58.18398824636353,1.152,50.7,81.35954460012886,490.5,51.0,81.8%
SB40118,62.0,6.168831168831202,28.13852813852807,8.777120315581726,0.1862197392923941,56.7293006377666,1.149,46.5,81.14171472129654,490.5,51.0,81.8%
SB7579,76.0,6.900212314225175,29.83014861995735,6.735751295336728,0.09930486593841123,56.43458290454234,1.161,40.0,58.47069597069597,485.5,48.0,72.7%
SB7578,48.0,6.349206349206211,29.62962962962974,7.722772277227651,0.09718172983477173,56.20121001410162,1.16,38.0,73.2209608069513,515.0,49.0,81.8%
SB7574,75.0,6.585365853658567,30.73170731707302,7.099391480730247,0.09891196834815046,55.48462338019002,1.16,38.2,72.87293705859358,507.5,48.0,81.8%
SB7571,54.0,8.064516129032258,29.23387096774201,7.475728155339965,0.1988071570576851,55.02707759082809,1.16,42.6,79.26670977657821,528.5,48.0,90.9%
SB7568,58.0,6.600985221674891,31.62561576354675,7.881773399014956,0.09505703422051341,53.79656858154289,1.16,44.6,69.50213111763438,493.5,48.0,90.9%
SB40088,56.0,5.561277033985599,30.79299691040172,7.338551859100067,0.1978239366963711,56.10935025981625,1.152,41.1,80.9549821731231,521.0,50.0,100.0%
SB7545,60.0,7.183580387685167,29.76054732041064,7.56143667296804,0.09950248756216926,55.39493313137398,1.16,27.2,65.55778540329763,491.5,49.0,72.7%
SB40073,59.0,5.638297872340516,29.78723404255314,7.504690431519881,0.198609731876893,56.87116792170957,1.15,43.8,90.75717766436988,513.5,51.0,100.0%
SB40068,50.0,6.447368421052565,30.92105263157888,7.157258064516274,0.09615384615389533,55.37816703669839,1.152,43.2,91.59205758660981,504.5,49.0,100.0%
SB40059,64.0,5.46511627906983,30.46511627906978,7.646474677259348,0.1923076923077223,56.23098507229332,1.153,44.1,92.19463751619577,512.0,51.0,90.9%
SB40055,61.0,4.561003420752474,32.26909920182437,6.746987951807479,0.09225092250927226,56.33065850310641,1.151,40.1,103.2050607738681,506.5,51.0,90.9%
SB40051,55.0,5.494505494505572,30.3296703296703,8.14432989690729,0.192492781520723,55.83900149739612,1.151,41.2,94.782198466409,496.5,51.0,100.0%
SB40048,68.0,5.699481865284945,30.56994818652849,6.33869441816462,0.1970443349754002,57.19483119504654,1.151,38.4,91.94721108262297,506.0,50.0,90.9%
SB40039,66.0,5.517241379310354,31.37931034482758,8.269230769230946,0.09900990099007932,54.73520760564104,1.153,35.8,89.21357881884198,515.0,51.0,90.9%
SB40036,65.0,5.402750491159105,30.74656188605112,7.087294727744229,0.1930501930501546,56.57034270199539,1.149,38.7,87.69990638411691,500.5,50.0,90.9%
SB7532,68.0,7.621951219512122,29.87804878048786,7.480314960629984,0.1990049751244092,54.82068006424563,1.16,36.0,66.6024048176811,500.5,47.0,63.6%
SB40029,64.0,5.033238366571774,31.05413105413103,7.841239109390413,0.1941747572815838,55.8772167126252,1.151,40.9,91.06205672991939,524.0,51.0,90.9%
SB40024,74.0,5.811623246492973,31.36272545090171,7.683982683982851,0.1895734597156694,54.95209515890679,1.151,45.1,95.29935445870728,496.5,51.0,81.8%
SB40020,63.0,5.832320777642773,29.52612393681655,6.873822975517921,0.1968503937007482,57.570881916322,1.15,45.0,89.96319047924553,500.5,51.0,90.9%
SB40016,73.0,5.919661733615323,30.44397463002117,7.283464566928956,0.1966568338249363,56.15624223560961,1.151,41.3,93.49586850434555,509.0,50.0,90.9%
SB40005,59.0,5.744680851063862,30.00000000000002,8.536585365853638,0.192492781520723,55.52624100156176,1.151,36.2,90.10025266892666,512.0,52.0,100.0%
SB 40004,37.0,6.072874493927179,29.75708502024298,8.761583824768273,0.1978239366963711,55.2106327243652,1.151,35.7,90.90190876375087,544.5,51.0,90.9%
SB40001,58.0,5.106382978723412,31.27659574468092,6.92,0.1988071570576851,56.5,1.149,38.9,89.2916528973306,506.0,51.0,90.9%
SB39994,55.0,6.441393875395987,29.56705385427662,7.00700700700702,0.17873100983017,56.8058142534902,1.151,32.0,82.27614409378201,515.0,50.0,100.0%
SB39988,42.0,6.583072100313539,29.78056426332288,7.562189054726426,0.1790510295434478,55.89512355209371,1.149,34.1,83.34766626845834,509.0,51.0,90.9%
SB39982,42.0,5.447070914696894,29.80472764645415,7.677165354330636,0.1964636542239295,56.87457243029439,1.152,32.9,83.3666613055439,530.0,49.0,90.9%
SB39980,45.0,5.186721991701142,30.60165975103738,7.77559055118115,0.1886792452830483,56.24734846079728,1.151,37.4,85.69116828017756,507.5,48.0,90.9%
SB39978,56.0,5.688622754491063,30.23952095808377,7.99632352941176,0.09803921568625501,55.97749354232715,1.149,33.0,82.8550641919982,506.0,49.0,100.0%
SB39976,37.0,5.34274193548378,30.54435483870979,7.317073170731637,0.1826484018264478,56.61318165324835,1.149,30.3,89.59040109046947,530.0,51.0,90.9%
SB39968,67.0,4.785643070787641,31.00697906281155,6.912804399057143,0.1795332136445523,57.11504025369911,1.15,35.8,92.63354263354263,505.0,51.0,90.9%
SB39966,56.0,5.418719211822629,30.44334975369449,7.227813357730748,0.09746588693955174,56.81265178981258,1.15,34.9,85.43226224059174,501.5,51.0,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0
